FID,FID_Fish4,Id,POINT_X,POINT_Y,FID_Unconv,NAME,SHAPEAREA,OBJECTID,NEAR_FID,NEAR_DIST,NEAR_ANGLE,NEAR_FC,RASTERVALU
12712,31497,0,-123.049028337999999,57.344802363699998,0,Montney Basin,26607264166.200000762939453,4,0,0.443659814294000,31.957405984400001,CTB,427.1390076
12713,31498,0,-123.026570456000002,57.344802363699998,0,Montney Basin,26607264166.200000762939453,4,0,0.424605608224000,31.957405984400001,CTB,429.6470032
12714,31499,0,-123.004112574000004,57.344802363699998,0,Montney Basin,26607264166.200000762939453,4,0,0.405551402155000,31.957405984400001,CTB,419.4809875
12715,31500,0,-122.981654692000006,57.344802363699998,0,Montney Basin,26607264166.200000762939453,4,0,0.386497196086000,31.957405984400001,CTB,365.4760132
12716,31501,0,-122.959196809999995,57.344802363699998,0,Montney Basin,26607264166.200000762939453,4,0,0.367442990016000,31.957405984400001,CTB,337.9930115
12717,31502,0,-122.936738926999993,57.344802363699998,0,Montney Basin,26607264166.200000762939453,4,0,0.348388783947000,31.957405984400001,CTB,331.9769897
12718,31503,0,-122.914281044999996,57.344802363699998,0,Montney Basin,26607264166.200000762939453,4,0,0.329334577877000,31.957405984400001,CTB,345.8529968
12719,31504,0,-122.891823162999998,57.344802363699998,0,Montney Basin,26607264166.200000762939453,4,0,0.310198113362000,31.196649235999999,CTB,352.6419983
12720,31505,0,-122.869365281000000,57.344802363699998,0,Montney Basin,26607264166.200000762939453,4,0,0.290987763319000,31.196649235999999,CTB,353.2799988
12721,31506,0,-122.846907399000003,57.344802363699998,0,Montney Basin,26607264166.200000762939453,4,0,0.271777413277000,31.196649235999999,CTB,331.3940125
