FID,FID_BCHFWe,Well_ID,LATITUDE,LONGITUDE,FID_Unconv,NAME,SHAPEAREA,OBJECTID,NEAR_FID,NEAR_DIST,NEAR_ANGLE,NEAR_FC
1136,869,870.000000000000000,55.712694999999997,-120.691894000000005,0,Montney Basin,26607264166.200000762939453,4,0,0.541771002659000,-128.241186411000001,CTB
1137,598,599.000000000000000,55.712775000000001,-120.326632000000004,0,Montney Basin,26607264166.200000762939453,4,0,0.746133550676000,-123.474326880999996,CTB
1138,604,605.000000000000000,55.712913999999998,-120.297252999999998,0,Montney Basin,26607264166.200000762939453,4,0,0.762453872831000,-123.474326880999996,CTB
1139,740,741.000000000000000,55.713023999999997,-120.568881000000005,0,Montney Basin,26607264166.200000762939453,4,0,0.612725596311000,-123.474326880999996,CTB
1140,874,875.000000000000000,55.713514000000004,-120.199920000000006,0,Montney Basin,26607264166.200000762939453,4,0,0.816635204233000,-123.470980783000002,CTB
1141,735,736.000000000000000,55.714075000000001,-120.621300000000005,0,Montney Basin,26607264166.200000762939453,4,0,0.584689874469000,-123.474326880999996,CTB
1142,855,856.000000000000000,55.714509999999997,-120.612802000000002,0,Montney Basin,26607264166.200000762939453,4,0,0.589739907116000,-123.474326880999996,CTB
1143,616,617.000000000000000,55.714576999999998,-120.560310000000001,0,Montney Basin,26607264166.200000762939453,4,0,0.618748453828000,-123.474326880999996,CTB
1144,745,746.000000000000000,55.714606000000003,-120.983774999999994,0,Montney Basin,26607264166.200000762939453,4,0,0.356993971183000,-130.814001826000009,CTB
1145,614,615.000000000000000,55.714941000000003,-120.094600000000000,0,Montney Basin,26607264166.200000762939453,4,0,0.875911072289000,-123.470980783000002,CTB
1146,858,859.000000000000000,55.714956999999998,-120.281874000000002,0,Montney Basin,26607264166.200000762939453,4,0,0.772640079854000,-123.470980783000002,CTB
1147,615,616.000000000000000,55.715218999999998,-120.247125999999994,0,Montney Basin,26607264166.200000762939453,4,0,0.792022659338000,-123.470980783000002,CTB
1148,863,864.000000000000000,55.715318000000003,-120.563547999999997,0,Montney Basin,26607264166.200000762939453,4,0,0.617580584511000,-123.474326880999996,CTB
1149,748,749.000000000000000,55.715491000000000,-120.490874000000005,0,Montney Basin,26607264166.200000762939453,4,0,0.657809199483000,-123.474326880999996,CTB
1150,1050,1051.000000000000000,55.717736000000002,-120.599547000000001,0,Montney Basin,26607264166.200000762939453,4,0,0.599741791640000,-123.474326880999996,CTB
1151,1248,1249.000000000000000,55.717834000000003,-120.094560000000001,0,Montney Basin,26607264166.200000762939453,4,0,0.878346372970000,-123.470980783000002,CTB
1152,4362,4363.000000000000000,55.718111999999998,-120.460076999999998,0,Montney Basin,26607264166.200000762939453,4,0,0.676981956604000,-123.474326880999996,CTB
1153,1250,1251.000000000000000,55.718454999999999,-120.560345999999996,0,Montney Basin,26607264166.200000762939453,4,0,0.621963365520000,-123.474326880999996,CTB
1154,1733,1734.000000000000000,55.718454999999999,-120.560345999999996,0,Montney Basin,26607264166.200000762939453,4,0,0.621963365520000,-123.474326880999996,CTB
